Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
124,-0.009183,0.007275,0.005075,0.022734,-0.001314,-0.002309,0.006146,0.01972,0.01702,0.340306,0.003113,0.55642,0.001968,0.705659,0.035951
125,0.011878,0.008129,0.013971,0.028684,0.001334,0.006943,0.009939,0.024675,0.018368,0.390384,0.003796,0.662817,0.002668,0.740238,0.038336
126,-0.007294,0.009111,0.003177,0.006243,-0.001069,-0.001181,0.006162,0.013041,0.013664,0.313454,0.001896,0.483474,0.000981,0.679191,0.035261
127,0.001766,-0.001705,0.006302,0.020142,2.4e-05,0.000608,0.003629,0.019058,0.016518,0.347378,0.003334,0.582137,0.002469,0.702437,0.040027
129,-0.005366,0.006567,0.011899,0.028148,-0.000837,-0.000716,0.00813,0.023824,0.018226,0.35633,0.002723,0.604799,0.001929,0.727618,0.035377
130,-0.01231,0.013568,0.000102,0.011278,-0.00168,-0.002491,0.006716,0.013999,0.014627,0.315271,0.002176,0.476262,0.00216,0.682636,0.034177
132,-0.011205,0.012633,0.002866,0.006645,-0.001545,-0.00216,0.007209,0.013125,0.01374,0.29477,0.002101,0.463722,0.001848,0.67702,0.033778
133,-0.004387,0.007349,-0.000334,0.029609,-0.000711,-0.000347,0.004774,0.020602,0.018314,0.357824,0.00335,0.602286,0.001272,0.711101,0.03668
135,-0.013129,0.008895,-0.001104,0.012761,-0.001803,-0.00377,0.004643,0.014135,0.014906,0.31831,0.002718,0.479427,0.002531,0.675959,0.035657
136,0.003497,-0.000989,0.007048,0.028682,0.000244,0.001495,0.00425,0.022459,0.018252,0.382405,0.002861,0.614248,0.002545,0.715793,0.039399
138,-0.00452,0.009015,0.001208,0.015439,-0.000721,-5.4e-05,0.005713,0.015841,0.015484,0.343411,0.003311,0.538664,0.000986,0.698066,0.036137
139,-0.012138,0.011604,0.005144,0.006951,-0.001667,-0.002719,0.007492,0.013932,0.013839,0.294416,0.002154,0.463678,0.002184,0.678571,0.033989
140,-0.00385,0.005258,0.001982,0.007619,-0.000653,-0.000489,0.004541,0.013148,0.013921,0.306106,0.00319,0.521679,0.00076,0.677596,0.036939
141,-0.015225,0.012502,-0.002545,0.003998,-0.002051,-0.00398,0.005364,0.010476,0.013115,0.254134,0.002121,0.431407,0.002718,0.656844,0.034748
