#sample number,P,I,overshoot,t5%
808,1.87E+02,9.33E+02,4.84E-02,1.86E-01
809,2.02E+02,9.28E+02,4.31E-02,1.80E-01
810,1.74E+02,7.88E+02,4.92E-03,2.11E-01
811,2.01E+02,9.33E+02,4.45E-02,1.58E-01
812,2.01E+02,9.33E+02,4.45E-02,1.58E-01
813,2.01E+02,9.33E+02,4.45E-02,1.58E-01
814,1.74E+02,8.56E+02,2.82E-02,1.95E-01
815,1.82E+02,8.26E+02,1.59E-02,1.92E-01
816,1.62E+02,8.27E+02,2.35E-02,2.02E-01
817,1.92E+02,8.73E+02,2.88E-02,1.80E-01
818,2.00E+02,9.16E+02,4.01E-02,1.74E-01
819,2.00E+02,9.18E+02,4.08E-02,1.74E-01
820,1.99E+02,9.16E+02,4.02E-02,1.74E-01
821,1.74E+02,8.48E+02,2.54E-02,1.85E-01
822,1.62E+02,7.87E+02,9.10E-03,2.15E-01
823,1.28E+02,7.46E+02,1.70E-02,2.43E-01
824,1.74E+02,7.87E+02,4.90E-03,2.01E-01
825,1.62E+02,8.85E+02,4.38E-02,2.04E-01
826,1.75E+02,8.46E+02,2.44E-02,1.85E-01
827,1.81E+02,8.26E+02,1.57E-02,1.96E-01
828,1.62E+02,7.46E+02,0.00E+00,2.15E-01
829,1.92E+02,8.73E+02,2.88E-02,1.80E-01
830,1.62E+02,7.46E+02,0.00E+00,2.15E-01
831,1.74E+02,7.87E+02,4.90E-03,2.01E-01
832,1.92E+02,9.34E+02,4.72E-02,1.78E-01
833,1.75E+02,7.90E+02,5.81E-03,2.06E-01
834,1.92E+02,8.73E+02,2.88E-02,1.80E-01
835,1.82E+02,9.33E+02,4.99E-02,1.89E-01
836,1.69E+02,7.87E+02,6.48E-03,2.09E-01
837,1.45E+02,7.66E+02,1.08E-02,2.28E-01
838,1.65E+02,8.46E+02,2.82E-02,2.00E-01
839,1.82E+02,8.26E+02,1.59E-02,1.92E-01
840,1.63E+02,8.46E+02,2.92E-02,2.01E-01
841,1.62E+02,7.46E+02,0.00E+00,2.15E-01
842,1.47E+02,7.80E+02,1.53E-02,2.28E-01
843,2.01E+02,9.33E+02,4.46E-02,1.58E-01
844,2.00E+02,9.16E+02,3.96E-02,1.81E-01
845,1.62E+02,7.46E+02,0.00E+00,2.15E-01
846,1.99E+02,9.37E+02,4.65E-02,1.75E-01
847,1.82E+02,9.16E+02,4.46E-02,1.83E-01
848,2.00E+02,9.16E+02,4.01E-02,1.74E-01
849,1.61E+02,8.73E+02,3.99E-02,2.03E-01
850,1.92E+02,9.00E+02,3.68E-02,1.86E-01
851,1.41E+02,8.02E+02,2.74E-02,2.17E-01
852,1.62E+02,7.46E+02,0.00E+00,2.15E-01
853,1.92E+02,8.73E+02,2.87E-02,1.83E-01
854,1.75E+02,7.96E+02,7.62E-03,2.06E-01
855,1.75E+02,7.90E+02,5.65E-03,2.06E-01
856,1.82E+02,8.27E+02,1.65E-02,1.92E-01
857,1.76E+02,8.48E+02,2.47E-02,2.02E-01
858,1.92E+02,8.72E+02,2.83E-02,1.85E-01
859,1.74E+02,7.93E+02,6.69E-03,2.06E-01
860,1.82E+02,8.23E+02,1.46E-02,1.96E-01
861,1.92E+02,8.96E+02,3.57E-02,1.83E-01
862,1.63E+02,8.26E+02,2.26E-02,2.01E-01
